17,0	50.79
17,1	32.67
17,2	29.83
17,3	21.36
17,4	28.95
17,5	51.22
17,6	76.06
17,7	25.8
17,8	19.29
17,9	60.94
17,10	43.29
17,11	33.29
17,12	51.99
17,13	12.12
17,14	34.4
17,15	35.7
17,16	21.4
17,17	27.61
17,18	39.44
17,19	33.55
17,20	87.58
17,21	9.91
17,22	11.73
17,23	61.2
17,24	37.99
17,25	12.14
17,26	19.35
17,27	28.72
17,28	58.71
17,29	35.41
17,30	71.17
17,31	33.47
17,32	30.63
17,33	7.44
17,34	34.92
17,35	17.59
17,36	69.82
17,37	22.7
17,38	83.69
17,39	65.09
17,40	58.71
17,41	23.16
17,42	35.33
17,43	25.78
17,44	24.26
17,45	62.57
17,46	68.56
17,47	16.58
17,48	14.87
17,49	38.86
17,50	23.28
17,51	18.29
17,52	38.18
17,53	10.22
17,54	12.65
17,55	42.49
17,56	11.12
17,57	49.52
17,58	43.36
17,59	24.5
17,60	17.46
17,61	7.86
17,62	8.44
17,63	22.25
17,64	20.14
17,65	21.77
17,66	11.14
17,67	37.88
17,68	14.66
17,69	72.26
17,70	11.87
17,71	24.45
17,72	40.56
17,73	26.89
17,74	16.03
17,75	36.64
17,76	8.53
17,77	8.14
17,78	14.61
17,79	13.79
17,80	25.2
17,81	34.53
17,82	51.08
17,83	33.42
17,84	18.71
17,85	9.1
17,86	6.88
17,87	39.17
17,88	22.36
17,89	4.71
17,90	29.23
17,91	21.67
17,92	15.84
17,93	12.41
17,94	47.29
17,95	26.01
17,96	15.32
17,97	15.04
17,98	13.55
17,99	22.28
17,100	16.18
17,101	23.87
17,102	55.87
17,103	30.49
17,104	53.29
17,105	16.08
17,106	47.6
17,107	17.17
17,108	75.06
17,109	13.46
17,110	18.49
17,111	2.56
17,112	42.85
17,113	58.83
17,114	56.09
17,115	7.29
17,116	49.06
17,117	53.74
17,118	54.86
17,119	33.85
17,120	24.51
17,121	53.59
17,122	63.91
17,123	36.46
17,124	50.76
17,125	53.58
17,126	46.93
17,127	35.08
17,128	26.12
17,129	44.73
17,130	6.86
17,131	18.88
17,132	36.23
17,133	14.99
17,134	14.96
17,135	12.69
17,136	23.01
17,137	43.38
17,138	26.65
17,139	19.39
17,140	42.1
17,141	4.42
17,142	26.6
17,143	39.1
17,144	9.69
17,145	37.13
17,146	16.04
17,147	28.18
17,148	16.33
17,149	51.45
17,150	39.46
17,151	16.26
17,152	25.13
17,153	53.35
17,154	26.29
17,155	24.1
17,156	18.46
17,157	16.55
17,158	12.55
17,159	95.07
17,160	39.54
17,161	34.05
17,162	15.51
17,163	23.98
17,164	31.6
17,165	17.66
17,166	14.7
17,167	33.08
17,168	10.07
17,169	26.09
17,170	18.87
17,171	45.78
17,172	19.54
17,173	38.83
17,174	26.89
17,175	32.9
17,176	20.11
17,177	25.15
17,178	18.92
17,179	0.73
17,180	26.51
17,181	8.05
17,182	33.1
17,183	24.14
17,184	48.05
17,185	26.12
17,186	13.37
17,187	48.49
17,188	22.6
17,189	19.91
17,190	68.72
17,191	31.92
17,192	27.23
17,193	17.32
17,194	33.32
17,195	52.15
17,196	28.52
17,197	90.7
17,198	54.86
17,199	29.21
17,200	16.3
17,201	51.76
17,202	14.09
17,203	14.26
17,204	25.88
17,205	56.4
17,206	24.11
17,207	18.4
17,208	94.51
17,209	29.06
17,210	35.43
17,211	30.05
17,212	18.02
17,213	38.79
17,214	76.29
17,215	8.51
17,216	7.57
17,217	31.8
17,218	22.16
17,219	49.64
17,220	13.91
17,221	50.4
17,222	62.46
17,223	39.1
17,224	21.11
17,225	20.43
17,226	35.18
17,227	38.24
